MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
1909 (x: 8, y: 38, z: 0)
1908 (x: 7, y: 38, z: 0)
1907 (x: 6, y: 38, z: 0)
1906 (x: 5, y: 38, z: 0)
1905 (x: 4, y: 38, z: 0)
1904 (x: 3, y: 38, z: 0)
1903 (x: 2, y: 38, z: 0)
1902 (x: 1, y: 38, z: 0)
1852 (x: 1, y: 37, z: 0)
1853 (x: 2, y: 37, z: 0)
1854 (x: 3, y: 37, z: 0)
1855 (x: 4, y: 37, z: 0)
1856 (x: 5, y: 37, z: 0)
1857 (x: 6, y: 37, z: 0)
1858 (x: 7, y: 37, z: 0)
1859 (x: 8, y: 37, z: 0)
1860 (x: 9, y: 37, z: 0)
1861 (x: 10, y: 37, z: 0)
1862 (x: 11, y: 37, z: 0)
1863 (x: 12, y: 37, z: 0)
1864 (x: 13, y: 37, z: 0)
1865 (x: 14, y: 37, z: 0)
1866 (x: 15, y: 37, z: 0)
1867 (x: 16, y: 37, z: 0)
1868 (x: 17, y: 37, z: 0)
1869 (x: 18, y: 37, z: 0)
1870 (x: 19, y: 37, z: 0)
1871 (x: 20, y: 37, z: 0)
1872 (x: 21, y: 37, z: 0)
1873 (x: 22, y: 37, z: 0)
1874 (x: 23, y: 37, z: 0)
1875 (x: 24, y: 37, z: 0)
1876 (x: 25, y: 37, z: 0)
1877 (x: 26, y: 37, z: 0)
1878 (x: 27, y: 37, z: 0)
1879 (x: 28, y: 37, z: 0)
1880 (x: 29, y: 37, z: 0)
1881 (x: 30, y: 37, z: 0)
1882 (x: 31, y: 37, z: 0)
1883 (x: 32, y: 37, z: 0)
1884 (x: 33, y: 37, z: 0)
1885 (x: 34, y: 37, z: 0)
1886 (x: 35, y: 37, z: 0)
1887 (x: 36, y: 37, z: 0)
1888 (x: 37, y: 37, z: 0)
1889 (x: 38, y: 37, z: 0)
1890 (x: 39, y: 37, z: 0)
1891 (x: 40, y: 37, z: 0)
1892 (x: 41, y: 37, z: 0)
1893 (x: 42, y: 37, z: 0)
1894 (x: 43, y: 37, z: 0)
1895 (x: 44, y: 37, z: 0)
1896 (x: 45, y: 37, z: 0)
1897 (x: 46, y: 37, z: 0)
1898 (x: 47, y: 37, z: 0)
1899 (x: 48, y: 37, z: 0)
1900 (x: 49, y: 37, z: 0)
1850 (x: 49, y: 36, z: 0)
1849 (x: 48, y: 36, z: 0)
